IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	Conv1,	10,	10,	10,	192,	32,
524288,	524288,	262144,	Conv2,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv3,	10,	10,	64,	192,	64,
524288,	524288,	262144,	Conv4,	39,	10,	10,	128,	1,
524288,	524288,	262144,	Conv5,	10,	10,	10,	192,	64,
524288,	524288,	262144,	Conv6,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv7,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv8,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv9,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv10,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv11,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv12,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv13,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv14,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv15,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv16,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv17,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv18,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv19,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv20,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv21,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv22,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv23,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv24,	10,	10,	10,	128,	1,
524288,	524288,	262144,	Conv25,	10,	10,	10,	128,	64,
524288,	524288,	262144,	Conv26,	10,	10,	9,	128,	1,
524288,	524288,	262144,	Conv27,	10,	17,	10,	128,	64,
